"title","doi","primary_location"
"InDaMul: Incentivized Data Mules for Opportunistic Networking Through Smart Contracts and Decentralized Systems","10.1145/3587696",""
"Declarative generation of RDF-star graphs from heterogeneous data","10.3233/sw-243602",""
"Human-Friendly RDF Graph Construction: Which one do you chose?","10.1007/978-3-031-34444-2_19",""
"Morph-KGC: declarative generation of RDF-star graphs from heterogeneous data","",""
"A Decentralized Data Sharing Framework based on a Key-Redistribution method","",""
"Protecting digital identity in the Metaverse: the case of access to a cinema in Decentraland","",""
"Declarative RDF Construction from In-Memory Data Structures with RML","",""
"Preface for the 4th Edition of the International Knowledge Graph Construction Workshop","",""
"Comparison of Knowledge Graph Representations for Consumer Scenarios","10.1007/978-3-031-47240-4_15","https://link.springer.com/content/pdf/10.1007/978-3-031-47240-4_15.pdf"
"Towards a UML-based notation for OWL ontologies","",""
"AI4Labour: Reshaping Labour Force Participation with Artificial Intelligence","",""
"Towards Assessing FAIR Research Software Best Practices in an Organization Using RDF-star","",""
"TEC: Transparent Emissions Calculation Toolkit","10.1007/978-3-031-47243-5_5",""
"ELAINE: rELiAbility and evIdence-aware News vErifier","",""
"Proof of Location through a Blockchain Agnostic Smart Contract Language","10.1109/ICDCSW60045.2023.00016",""
"Re-Construction Impact on Metadata Representation Models","10.1145/3587259.3627554",""
"DLT-Based Personal Data Access Control with Key-Redistribution","10.1109/BCCA58897.2023.10338895",""
"Interoperability of Heterogeneous Systems of Systems: Review of Challenges, Emerging Requirements and Options","10.1145/3555776.3577692",""
"On the Use of Deep Neural Networks for Security Vulnerabilities Detection in Smart Contracts","10.1109/PerComWorkshops56833.2023.10150302",""
"Towards an Automatic Easy-to-Read Adaptation of Morphological Features in Spanish Texts","10.1007/978-3-031-42280-5_12",""
"ACM K-CAP 2023 Chairs' Welcome","",""
"Towards an Architecture for Data Altruism in Solid","",""
"Softalias-KG: Reconciling Software Mentions in Scientific Literature","",""
"Preface to the Proceedings of the 2023 International Semantic Web Conference Posters, Demos and Industry Tracks","",""
"Towards An Artificial Intelligence (AI)-based Framework to Automatically Adapt Short Stories in Spanish into Easier and Accessible Versions","",""
"Preface","10.1016/s0304-0208(06)80001-0",""
"Building a Knowledge Graph from Historical Newspapers: A Study Case in Ecuador","10.1007/978-3-031-32213-6_10",""
"Preface of the Joint Workshop Proceedings of the 5th Sem4Tra Workshop, and 2nd NLP4KGC Workshop co-located with SEMANTiCS 2023","",""
"XSD2SHACL: Capturing RDF Constraints from XML Schema","10.1145/3587259.3627565",""
"The 4th Wikidata Workshop - Wikidata Workshop 2023","",""
"LUBM4OBDA: Benchmarking OBDA Systems with Inference and Meta Knowledge","10.13052/jwe1540-9589.2284","https://journals.riverpublishers.com/index.php/JWE/article/download/18845/19479"
"Companion Proceedings of the 23rd International Conference on Knowledge Engineering and Knowledge Management","",""
"Phenotypes of non-alcoholic fatty liver disease (NAFLD) and all-cause mortality: unsupervised machine learning analysis of NHANES III","10.1136/bmjopen-2022-067203","https://bmjopen.bmj.com/content/bmjopen/12/11/e067203.full.pdf"
"OBOE: an Explainable Text Classification Framework","10.9781/ijimai.2022.11.001","https://doi.org/10.9781/ijimai.2022.11.001"
"Government plans in the 2016 and 2021 Peruvian presidential elections: A natural language processing analysis of the health chapters","10.12688/wellcomeopenres.16867.5",""
"Challenges for FAIR Digital Object Assessment","10.3897/rio.8.e95943","https://riojournal.com/article/95943/download/pdf/"
"A Systematic Review of Ontologies for the Water Domain","10.1002/9781394171460.ch2",""
"Extending Ontology Engineering Practices to Facilitate Application Development","10.1007/978-3-031-17105-5_2",""
"esT5s: A Spanish Model for Text Summarization","10.3233/ssw220020",""
"The implications of natural language processing for public performance management: a systematic literature review","",""
"Extraction and Semantic Representation of Domain-Specific Relations in Spanish Labour Law","10.26342/2022-69-9",""
"An Overview of Drugs, Diseases, Genes and Proteins in the CORD-19 Corpus [Una visión general de los Fármacos, Enfermedades, Genes y Proteínas en el corpus CORD-19]","10.26342/2022-69-14",""
"Multi-label Text Classification for Public Procurement in Spanish [Clasificación multi-etiqueta de textos de licitaciones públicas en español]","10.26342/2022-69-6",""
"WoTHive: Enabling Syntactic and Semantic Discovery in the Web of Things","",""
"Nine best practices for research software registries and repositories","10.7717/PEERJ-CS.1023",""
"Ontology Management in an Industrial Environment: The BASF Governance Operational Model for Ontologies (GOMO)","10.5281/zenodo.7007495",""
"Analysis of ontologies and policy languages to represent information flows in GDPR","10.3233/SW-223009",""
"A low-cost method for text summarization","",""
"Using the ODRL Profile for Access Control for Solid Pod Resource Governance","10.1007/978-3-031-11609-4_3",""
"Proceedings of the 3rd International Workshop on Semantic Digital Twins (SeDiT 2022)","",""
"FAIR Principles for Research Software (FAIR4RS Principles)","10.15497/RDA00068",""
"Lynx: A knowledge-based AI service platform for content processing, enrichment and analysis for the legal domain","10.1016/j.is.2021.101966",""
"Technologies and Applications for Big Data Value","10.1007/978-3-030-78307-5_1","https://link.springer.com/content/pdf/10.1007/978-3-030-78307-5_1.pdf"
"Using a Legal Knowledge Graph for Multilingual Compliance Services in Labor Law, Contract Management, and Geothermal Energy","10.1007/978-3-030-78307-5_12","https://link.springer.com/content/pdf/10.1007/978-3-030-78307-5_12.pdf"
"A framework for creating knowledge graphs of scientific software metadata","10.1162/qss_a_00167",""
"Towards Smart, Digitalised Rural Regions And Communities - Policies, Best Practices And Case Studies","",""
"Proceedings of the 9th Linked Data in Architecture and Construction Workshop (LDAC2021)","",""
"Description of Postdata Poetry Ontology V1.0","10.51305/icl.cz.9788076580336.02","https://www.plottingpoetry.org/books/tackling_toolkit/pdf/02_diezplatas.pdf"
"Development, validation, and application of a machine learning model to estimate salt consumption in 54 countries","10.7554/eLife.72930",""
"Author response: Development, validation, and application of a machine learning model to estimate salt consumption in 54 countries","10.7554/elife.72930.sa2",""
"Estimating  salt consumption  in  49  low-  and  middle-income  countries:  Development, validation and application of a machine learning model","10.7554/eLife.72930",""
"Context aware ontology-based hybrid intelligent framework for vehicle driver categorization","10.1002/ett.3729",""
"Rule extraction in unsupervised anomaly detection for model explainability: Application to OneClass SVM[Formula presented]","10.1016/j.eswa.2021.116100",""
"Annotating OGC web feature services automatically for generating geospatial knowledge graphs","10.1111/tgis.12863",""
"A graph-based representation of knowledge for managing land administration data from distributed agencies - A case study of Colombia","10.1080/10095020.2021.2015250",""
"TheyBuyForYou platform and knowledge graph: Expanding horizons in public procurement with open linked data","10.3233/SW-210442",""
"A study of the quality of Wikidata","10.1016/j.websem.2021.100679",""
"Data Quality Barriers for Transparency in Public Procurement","10.3390/info13020099","https://www.mdpi.com/2078-2489/13/2/99/pdf?version=1645523351"
"LOT: An industrial oriented ontology engineering framework","10.1016/j.engappai.2022.104755",""
"Intelligent Human-input-based Blockchain Oracle (IHiBO)","10.5220/0010945300003116",""
"PHDD: Corpus of Physical Health Data Disclosure on Twitter During COVID-19 Pandemic","10.1007/s42979-022-01097-x","https://link.springer.com/content/pdf/10.1007/s42979-022-01097-x.pdf"
"Multi-object tracking in traffic environments: A systematic literature review","10.1016/j.neucom.2022.04.087",""
"Towards CBDC-based machine-to-machine payments in consumer IoT","10.1145/3477314.3507078",""
"Handling qualitative preferences in SPARQL over virtual ontology-based data access","10.3233/SW-212895",""
"Extracting and Understanding Call-to-actions of Push-Notifications","10.1007/978-3-031-08473-7_14",""
"Inspect4py: A Knowledge Extraction Framework for Python Code Repositories","10.1145/3524842.3528497",""
"Incentivized Data Mules Based on State-Channels","10.1109/ICBC54727.2022.9805515",""
"Using the ODRL Profile for Access Control for Solid Pod Resource Governance","10.1007/978-3-031-11609-4_3",""
"Interpretable machine learning models for predicting and explaining vehicle fuel consumption anomalies","10.1016/j.engappai.2022.105222",""
"Data governance through a multi-DLT architecture in view of the GDPR","10.1007/s10586-022-03691-3","https://link.springer.com/content/pdf/10.1007/s10586-022-03691-3.pdf"
"Decentralized Personal Data Marketplaces: How Participation in a DAO Can Support the Production of Citizen-Generated Data","10.3390/s22166260","https://www.mdpi.com/1424-8220/22/16/6260/pdf?version=1661238706"
"Accepted Tutorials at The Web Conference 2022","10.1145/3487553.3547182",""
"The impact of NFT profile pictures within social network communities","10.1145/3524458.3547230",""
"DLT-based Data Mules for Smart Territories","10.1109/ICCCN54977.2022.9868916",""
"TermitUp: Generation and enrichment of linked terminologies","10.3233/SW-222885",""
"Decentralized Health Data Distribution: A DLT-based Architecture for Data Protection","10.1109/Blockchain55522.2022.00023",""
"Extending Ontology Engineering Practices to Facilitate Application Development","10.1007/978-3-031-17105-5_2",""
"EBOCA: Evidences for BiOmedical Concepts Association Ontology","10.1007/978-3-031-17105-5_11",""
"Simulation of the Internet Computer Protocol: the Next Generation Multi-Blockchain Architecture","10.1109/DS-RT55542.2022.9932122",""
"Blockchain-Based Data Management for Smart Transportation","10.1007/978-3-031-07535-3_20",""
"Systematic Construction of Knowledge Graphs for Research-Performing Organizations","10.3390/info13120562","https://www.mdpi.com/2078-2489/13/12/562/pdf?version=1669804108"
"Towards a Taxonomy of AI Risks in the Health Domain","10.1109/TransAI54797.2022.00007",""
"Fostering trust with transparency in the data economy era: An integrated ethical, legal, and knowledge engineering approach","10.1145/3565011.3569061",""
"Now, Later, Never: A Study of Urgency in Mobile Push-Notifications","10.1007/978-3-031-20436-4_4",""
"An extension of Thing Descriptions from the Web of Things for Digital Twins","10.12688/openreseurope.15280.1",""
"Automating the Response to GDPR's Right of Access","10.3233/FAIA220462",""
"WhenTheFact: Extracting Events from European Legal Decisions","10.3233/FAIA220470",""
"Smart Contracts Vulnerability Classification through Deep Learning","10.1145/3560905.3568175",""
"Packaging research artefacts with RO-Crate","10.3233/DS-210053",""
"Apports des methodologies et techniques de developpement logiciel pour l'ingenierie des ontologies: Retour d'experience des contributions au developpement de l'ontologie ETSI SAREF","",""
"Bringing Federated Semantic Queries to the GIS-Based Scenario","10.3390/ijgi11020086","https://www.mdpi.com/2220-9964/11/2/86/pdf?version=1643204664"
"Characterizing water quality datasets through multi-dimensional knowledge graphs: a case study of the Bogota river basin","10.2166/hydro.2022.070",""
"Characterization of urban risks in the press applying text mining for the enrichment of open data Luis M. Vilches-Blázquez and Diana Comesaña Ocampo [Caracterización de riesgos urbanos en prensa aplicando minería de texto para el enriquecimiento de datos abiertos]","10.22201/iibi.24488321xe.2022.91.58538","http://rev-ib.unam.mx/ib/index.php/ib/article/download/58538/52254"
"Ontology verification testing using lexico-syntactic patterns","10.1016/j.ins.2021.09.011",""
"Balancing coverage and specificity for semantic labelling of subject columns","10.1016/j.knosys.2021.108092",""
"DockerPedia: A Knowledge Graph of Software Images and Their Metadata","10.1142/S0218194022500036",""
"Multiagent System for the Prediction of Road Maintenance Actions","10.1007/978-3-030-87687-6_11",""
"Estimating Time Lost on Semaphores with Deep Learning","10.1007/978-3-030-87687-6_4",""
"Intelligent Agent for Roadway Data Analysis","10.1007/978-3-030-87687-6_10",""
"Chowlk: from UML-Based Ontology Conceptualizations to OWL","10.1007/978-3-031-06981-9_20",""
"Terminology and ontologies","10.1075/tlrp.23.07mon",""
"First Attempt to an Easy-to-Read Adaptation of Repetitions in Captions","10.1007/978-3-031-08648-9_48",""
"On The Modeling Of P2P Systems as Temporal Networks: A Case Study With Data Streaming","10.23919/ANNSIM55834.2022.9859513",""
"FAIROs: Towards FAIR Assessment in Research Objects","10.1007/978-3-031-16802-4_6",""
"Declarative Description of Knowledge Graphs Construction Automation: Status & Challenges","",""
"Devising Mapping Interoperability With Mapping Translation","",""
"Preface for the 3rd Edition of the International Knowledge Graph Construction Workshop","",""
"Devising Mapping Interoperability with Mapping Translation","",""
"Representing Multilingual Terminologies with OntoLex-Lemon","",""
"Street images classification according to COVID-19 risk in Lima, Peru: a convolutional neural networks feasibility analysis","10.1136/bmjopen-2022-063411","https://bmjopen.bmj.com/content/bmjopen/12/9/e063411.full.pdf"
"Proceedings of the 10th Linked Data in Architecture and Construction Workshop (LDAC 2022)","",""
"Semantifying the Governance of Data in Europe","",""
"Preface of the Joint Proceedings of the Poster & Demo Track and Workshop Track of SEMANTiCS 2022","",""
"Linked Archives 2022 International Workshop - Preface","",""
"PREFACE","10.1016/s0304-0208(06)80001-0",""
"TermTrends: Trends in Terminology Generation and Modelling","",""
"NextProcurement: Challenges in Public Procurement in Spain","",""
"Summaries of Knowledge Graph Entities: First Steps to Measure the Relevance of Symptoms to Infer Diseases","",""
"Linghub2: Language Resource Discovery Tool for Language Technologies","",""
"A Digital Twin Platform Generating Knowledge Graphs for Construction Projects","",""
"ON THE MODELING OF P2P SYSTEMS AS TEMPORAL NETWORKS: A CASE STUDY WITH DATA STREAMING","10.23919/annsim55834.2022.9859513",""
"Preface - SMART 2022","10.1063/12.0017296",""
"A Spanish Political Tweets Fine-Tuned Sentiment Analysis Model","10.1007/978-3-031-14859-0_8",""
"Enhancing Trust in Trust Services: Towards an Intelligent Human-input-based Blockchain Oracle (IHiBO)","10.24251/hicss.2022.712",""
"A hierarchical multi-agent architecture based on virtual identities to explain black-box personalization policies","10.1016/j.eswa.2021.115731",""
"A case-based reasoning model powered by deep learning for radiology report recommendation","10.9781/ijimai.2021.08.011","https://doi.org/10.9781/ijimai.2021.08.011"
"Semantic conflation in GIScience: a systematic review","10.1080/15230406.2021.1952109",""
"Proceedings of the Doctoral Consortium at ISWC 2021","",""
"An analysis of pollution Citizen Science projects from the perspective of Data Science and Open Science","10.1108/DTA-10-2020-0253",""
"Analysing Ontological Requirements: A Journey from Requirements to Code and Back","",""
"Impact of Text Length for Information Retrieval Tasks based on Probabilistic Topics","10.26342/2021-67-2","http://rua.ua.es/dspace/bitstream/10045/117485/1/PLN_67_02.pdf"
"SPARQL2Flink: Evaluation of SPARQL Queries on Apache Flink","10.3390/app11157033","https://www.mdpi.com/2076-3417/11/15/7033/pdf?version=1628044316"
"A Dialogical Approach to Readiness for Change towards Sustainability in Higher Education Institutions: The Case of the SDGs Seminars at the Universidad Politecnica de Madrid","10.3390/su13169168","https://www.mdpi.com/2071-1050/13/16/9168/pdf?version=1629191461"
"CHALLENGE-BASED LEARNING IN EXPLAINABLE ARTIFICIAL INTELLIGENCE EDUCATION","10.21125/edulearn.2021.0165",""
"An ontology-based deep learning approach for triple classification with out-of-knowledge-base entities","10.1016/j.ins.2021.02.018",""
"Crossing the chasm between ontology engineering and application development: A survey","10.1016/j.websem.2021.100655",""
"Artificial Intelligence for Modeling Complex Systems: Taming the Complexity of Expert Models to Improve Decision Making","10.1145/3453172",""
"Proceedings of the 2nd International Workshop on Semantic Digital Twins (SeDiT 2021)","",""
"First Attempt to help People with Cognitive Disabilities to understand Micropoems","",""
"An estimation of heavy-duty vehicle fleet CO2 emissions based on sampled data","10.1016/j.trd.2021.102784",""
"Towards metrics-driven ontology engineering","10.1007/s10115-021-01545-9",""
"On learning context-aware rules to link RDF datasets","10.1093/jigpal/jzaa043",""
"An information sharing strategy based on linked data for net zero energy buildings and clusters","10.1016/j.autcon.2021.103592",""
"Personal Data Access Control Through Distributed Authorization","10.1109/nca51143.2020.9306721",""
"Typology-based semantic labeling of numeric tabular data","10.3233/SW-200397",""
"A Flexible and Robust Deep Learning-Based System for Solar Irradiance Forecasting","10.1109/ACCESS.2021.3051839",""
"Understanding the phenomenology of reading through modelling","10.3233/SW-200396",""
"A High-Level Ontology Network for ICT Infrastructures","10.1007/978-3-030-88361-4_26",""
"MOVO: a dApp for DLT-based Smart Mobility","10.1109/ICCCN52240.2021.9522257",""
"Towards Decentralized Complex Queries over Distributed Ledgers: a Data Marketplace Use-case","10.1109/ICCCN52240.2021.9522165",""
"Toward the Ontological Modeling of Smart Contracts: A Solidity Use Case","10.1109/ACCESS.2021.3115577",""
"Enhancing virtual ontology based access over tabular data with Morph-CSV","10.3233/SW-210432",""
"ODRL Profile for Expressing Consent through Granular Access Control Policies in Solid","10.1109/EuroSPW54576.2021.00038",""
"The Use of Decentralized and Semantic Web Technologies for Personal Data Protection and Interoperability","10.1007/978-3-030-89811-3_23",""
"A Community Roadmap for Scientific Workflows Research and Development","10.1109/WORKS54523.2021.00016",""
"Simulation of Hybrid Edge Computing Architectures","10.1109/DS-RT52167.2021.9576121",""
"Advances in pattern-based ontology engineering","10.3233/SSW51",""
"Governing decentralized complex queries through a DAO","10.1145/3462203.3475910",""
"Simulation of Dissemination Strategies on Temporal Networks","10.23919/ANNSIM52504.2021.9552126",""
"Further with Knowledge Graphs - Proceedings of the 17th International Conference on Semantic Systems","978-1-64368-201-3",""
"A scoping review on the use, processing and fusion of geographic data in virtual assistants","10.1111/tgis.12720",""
"An analysis of existing production frameworks for statistical and geographic information: Synergies, gaps and integration","10.3390/ijgi10060374","https://www.mdpi.com/2220-9964/10/6/374/pdf?version=1622623685"
"LACLICHEV: Exploring the History of Climate Change in Latin America Within Newspapers Digital Collections","10.1007/978-3-030-85082-1_11",""
"Conformance testing of ontologies through ontology requirements","10.1016/j.engappai.2020.104026",""
"Towards the use of ontologies in remotely piloted aircraft system conceptual design: Opportunities and challenges","10.2514/6.2021-1061",""
"Preface for the 2nd edition of the international knowledge graph construction workshop","",""
"Knowledge graph construction with R2RML and RML: An ETL system-based overview","","http://ceur-ws.org/Vol-2873/paper11.pdf"
"Latest enhancements in the Spanish DBpedia","","http://ceur-ws.org/Vol-2941/paper8.pdf"
"Converting UML-Based Ontology Conceptualizations to OWL with Chowlk","10.1007/978-3-030-80418-3_8",""
"R4R: Template-based REST API Framework for RDF Knowledge Graphs","","http://ceur-ws.org/Vol-2980/paper339.pdf"
"TimeLex: A Suite of Tools for Processing Temporal Information in Legal Texts","10.1007/978-3-030-89811-3_18",""
"Introduction: A Hybrid Regulatory Framework and Technical Architecture for a Human-Centered and Explainable AI","10.1007/978-3-030-89811-3_1",""
"FOOPS!: An ontology pitfall scanner for the FAIR principles","","http://ceur-ws.org/Vol-2980/paper321.pdf"
"Creating and querying personalized versions of wikidata on a laptop","10.48550/arxiv.2108.07119",""
"Supporting Demand-Response strategies with the DELTA ontology","10.1109/AICCSA53542.2021.9686935",""
"Bilingual Dataset for Information Retrieval and Question Answering over the Spanish Workers Statute","10.5281/zenodo.4256718",""
"Challenges in the Digital Representation of Privacy Terms","10.1007/978-3-030-89811-3_22",""
"Integration of building material databases for IFC-based building performance analysis","10.22260/isarc2021/0027",""
"VOCEDITOR - An Integrated Environment to Visually Edit, Validate and Versioning RDF Vocabularies","10.1109/ICSC50631.2021.9475916",""
"ETSI SmartM2M Technical Report 103717; Study for oneM2M; Discovery and Query specification development","","https://inria.hal.science/hal-03261080/document"
"ETSI SmartM2M Technical Report 103715; Study for oneM2M; Discovery and Query solutions analysis & selection","",""
"Link maintenance for integrity in linked open data evolution: Literature survey and open challenges","10.3233/SW-200398",""
"Knowledge Engineering of PhD Stories: A Preliminary Study","10.1145/3460210.3493579",""
"Challenges in the Implementation of Privacy Enhancing Semantic Technologies (PESTs) Supporting GDPR","10.1007/978-3-030-89811-3_20",""
"Web of things (wot) discovery","10.1109/ccnc.2019.8651786",""
"Thesaurus enhanced extraction of Hohfeld's relations from Spanish Labour Law","","http://ceur-ws.org/Vol-2918/paper4.pdf"
"VOC EDITOR - An integrated environment to visually edit, validate and versioning RDF vocabularies","10.1109/ICSC50631.2021.00089",""
"A visual SHACL shapes editor based on ontopad","","http://ceur-ws.org/Vol-2941/paper16.pdf"
"3rd edition of the international workshop on semantics and the web for transport (Sem4Tra)","",""
"RML-star: A Declarative Mapping Language for RDF-star Generation","","http://ceur-ws.org/Vol-2980/paper374.pdf"
"AI Approaches to the Complexity of Legal Systems XI-XII","978-3-030-89810-6",""
"GTFS-Madrid-Bench: A benchmark for virtual knowledge graph access in the transport domain","10.1016/j.websem.2020.100596",""
"ENIGMA and global neuroscience: A decade of large-scale studies of the brain in health and disease across more than 40 countries","10.1038/s41398-020-0705-1","https://www.nature.com/articles/s41398-020-0705-1.pdf"
"Genetic correlations and genome-wide associations of cortical structure in general population samples of 22,824 adults","10.1038/s41467-020-18367-y","https://www.nature.com/articles/s41467-020-18367-y.pdf"
"Best Practices for Implementing FAIR Vocabularies and Ontologies on the Web","10.3233/ssw200034",""
"Personal Data Access Control through Distributed Authorization","10.1109/NCA51143.2020.9306721",""
"Using LOT methodology to develop a noise pollution ontology: a Spanish use case","10.1007/s12652-019-01561-2",""
"A multi-agent architecture for mobile sensing systems","10.1007/s12652-019-01608-4",""
"Enhancing Public Procurement in the European Union Through Constructing and Exploiting an Integrated Knowledge Graph","10.1007/978-3-030-62466-8_27",""
"COMPARTIR Y GENERAR DATOS Y CONOCIMIENTO AGROECOLÓGICO CON PAUSA","",""
"MOATcoin: Exploring challenges and legal implications of smart contracts through a gamelike DApp experiment","10.1145/3410699.3413798",""
"Are distributed ledger technologies ready for intelligent transportation systems?","10.1145/3410699.3413789",""
"Discovering hidden mental states in open multi-agent systems by leveraging multi-protocol regularities with machine learning","10.3390/s20185198","https://www.mdpi.com/1424-8220/20/18/5198/pdf?version=1599893740"
"Potentially inappropriate medications in older adults living with HIV","10.1111/hiv.12883",""
"Mission possible: Unify HPC and Big Data stacks towards application-defined blobs at the storage layer","10.1016/j.future.2018.07.035",""
"Grammatically uniform population initialization for grammar-guided genetic programming","10.1007/s00500-020-05061-w",""
"Polypharmacy and Drug-Drug Interactions in People Living With Human Immunodeficiency Virus in the Region of Madrid, Spain: A Population-Based Study","10.1093/cid/ciz811",""
"Proceedings of the 32nd International Conference on Software Engineering and Knowledge Engineering (SEKE 2020)","10.18293/SEKE2020",""
